,player,innings,runs,balls,dismissals,dots,ones,twos,threes,fours,sixes,highest,30s,50s,100s,strike rate,runs per innings,balls Per dismissal,balls per boundary,dot%,bowling_innings,balls_bowled,runs_conceded,wickets_taken,dots_bowled,bowling_dot%
0,A Ashish Reddy,23,280,196,15,61,83,20,1,16,15,36,2,0,0,142.86,12.17,13.07,6.32,31.12,20,270,400,18,79,29.26
1,A Badoni,11,161,139,8,57,53,11,0,11,7,54,1,1,0,115.83,14.64,17.38,7.72,41.01,2,12,12,2,3,25.0
2,A Chopra,6,53,75,5,45,21,2,0,7,0,24,0,0,0,70.67,8.83,15.0,10.71,60.0,0,0,0,0,0,0.0
3,A Choudhary,3,25,20,1,4,13,1,0,1,1,15,0,0,0,125.0,8.33,20.0,10.0,20.0,5,108,144,5,42,38.89
4,A Flintoff,3,62,57,2,24,23,2,1,5,2,24,0,0,0,108.77,20.67,28.5,8.14,42.11,3,66,106,2,20,30.3
5,A Kumble,15,35,49,2,24,21,1,0,3,0,8,0,0,0,71.43,2.33,24.5,16.33,48.98,42,983,1089,45,374,38.05
6,A Manohar,7,108,79,6,30,30,2,0,14,3,43,2,0,0,136.71,15.43,13.17,4.65,37.97,0,0,0,0,0,0.0
7,A Mishra,54,362,410,27,182,172,22,0,29,5,31,2,0,0,88.29,6.7,15.19,12.06,44.39,154,3317,4022,166,1150,34.67
8,A Mithun,6,34,26,5,11,8,2,0,4,1,11,0,0,0,130.77,5.67,5.2,5.2,42.31,16,312,477,7,90,28.85
9,A Mukund,2,19,23,2,9,11,2,0,1,0,19,0,0,0,82.61,9.5,11.5,23.0,39.13,0,0,0,0,0,0.0
10,A Nehra,17,41,63,6,37,21,1,0,3,1,22,0,0,0,65.08,2.41,10.5,15.75,58.73,88,1974,2537,106,798,40.43
11,A Nortje,4,8,13,1,9,2,0,2,0,0,3,0,0,0,61.54,2.0,13.0,13.0,69.23,30,706,946,43,275,38.95
12,A Singh,5,2,10,4,8,2,0,0,0,0,1,0,0,0,20.0,0.4,2.5,10.0,80.0,23,486,639,28,189,38.89
13,A Symonds,36,974,781,24,308,288,66,4,74,41,117,14,6,1,124.71,27.06,32.54,6.79,39.44,30,540,694,20,190,35.19
14,A Tomar,1,4,8,1,7,0,0,0,1,0,4,0,0,0,50.0,4.0,8.0,8.0,87.5,0,0,0,0,0,0.0
15,A Uniyal,2,4,7,1,3,4,0,0,0,0,4,0,0,0,57.14,2.0,7.0,7.0,42.86,2,38,67,2,8,21.05
16,A Zampa,2,5,8,2,6,1,0,0,1,0,5,0,0,0,62.5,2.5,4.0,8.0,75.0,14,292,373,21,90,30.82
17,AA Bilakhia,7,69,88,5,43,31,9,0,5,0,22,0,0,0,78.41,9.86,17.6,17.6,48.86,0,0,0,0,0,0.0
18,AA Chavan,3,12,11,1,5,4,0,0,2,0,7,0,0,0,109.09,4.0,11.0,5.5,45.45,13,255,339,8,100,39.22
19,AA Jhunjhunwala,15,217,218,12,98,82,13,1,19,5,53,2,1,0,99.54,14.47,18.17,9.08,44.95,10,88,130,1,27,30.68
20,AA Noffke,1,9,12,1,6,5,0,0,1,0,9,0,0,0,75.0,9.0,12.0,12.0,50.0,1,25,41,1,6,24.0
21,AB Agarkar,18,179,160,8,60,67,15,0,13,5,39,1,0,0,111.87,9.94,20.0,8.89,37.5,42,820,1174,29,254,30.98
22,AB Barath,3,42,43,2,22,14,1,0,5,1,33,1,0,0,97.67,14.0,21.5,7.17,51.16,0,0,0,0,0,0.0
23,AB Dinda,16,26,50,9,31,16,1,0,2,0,7,0,0,0,52.0,1.62,5.56,25.0,62.0,75,1589,2103,69,627,39.46
24,AB McDonald,9,123,103,5,38,42,9,1,9,4,33,2,0,0,119.42,13.67,20.6,7.92,36.89,10,188,263,11,50,26.6
25,AB de Villiers,170,5162,3479,122,1113,1417,268,17,413,251,133,66,43,3,148.38,30.36,28.52,5.24,31.99,0,0,0,0,0,0.0
26,AC Blizzard,7,120,91,7,48,17,2,1,21,2,51,2,1,0,131.87,17.14,13.0,3.96,52.75,0,0,0,0,0,0.0
27,AC Gilchrist,80,2069,1555,75,737,417,66,4,239,92,109,26,13,2,133.05,25.86,20.73,4.7,47.4,1,1,0,1,1,100.0
28,AC Thomas,4,20,19,2,8,8,1,0,1,1,12,0,0,0,105.26,5.0,9.5,9.5,42.11,15,327,416,14,126,38.53
29,AC Voges,7,181,143,4,44,61,18,2,15,3,45,2,0,0,126.57,25.86,35.75,7.94,30.77,7,56,76,0,15,26.79
30,AD Hales,6,148,119,6,48,44,8,0,13,6,45,3,0,0,124.37,24.67,19.83,6.26,40.34,0,0,0,0,0,0.0
31,AD Mascarenhas,11,79,79,9,29,35,9,0,5,1,27,0,0,0,100.0,7.18,8.78,13.17,36.71,13,310,365,19,124,40.0
32,AD Mathews,41,724,599,28,207,267,49,3,44,29,65,8,1,0,120.87,17.66,21.39,8.21,34.56,44,807,1095,27,224,27.76
33,AD Nath,10,90,99,10,45,40,5,0,7,2,24,0,0,0,90.91,9.0,9.9,11.0,45.45,0,0,0,0,0,0.0
34,AD Russell,81,2035,1209,64,507,343,47,0,137,175,88,31,10,0,168.32,25.12,18.89,3.88,41.94,89,1484,2214,89,493,33.22
35,AF Milne,6,23,31,4,15,13,2,0,0,1,15,0,0,0,74.19,3.83,7.75,31.0,48.39,10,217,339,7,69,31.8
36,AG Murtaza,3,10,14,1,7,6,0,0,1,0,5,0,0,0,71.43,3.33,14.0,14.0,50.0,12,269,322,9,101,37.55
37,AG Paunikar,5,49,61,5,41,9,2,0,9,0,20,0,0,0,80.33,9.8,12.2,6.78,67.21,0,0,0,0,0,0.0
38,AJ Finch,90,2091,1692,82,746,545,105,4,214,78,88,27,15,0,123.58,23.23,20.63,5.79,44.09,5,44,67,1,13,29.55
39,AJ Turner,4,3,11,3,8,3,0,0,0,0,3,0,0,0,27.27,0.75,3.67,11.0,72.73,0,0,0,0,0,0.0
40,AJ Tye,13,91,79,8,39,22,6,1,6,5,25,0,0,0,115.19,7.0,9.88,7.18,49.37,30,714,1005,42,208,29.13
41,AK Markram,18,527,400,13,122,195,23,0,37,23,68,7,3,0,131.75,29.28,30.77,6.67,30.5,6,61,87,1,17,27.87
42,AL Menaria,23,401,367,21,152,149,24,0,24,18,40,5,0,0,109.26,17.43,17.48,8.74,41.42,12,113,144,3,40,35.4
43,AM Nayar,50,672,588,36,234,230,47,1,55,20,45,6,0,0,114.29,13.44,16.33,7.84,39.8,19,239,323,9,69,28.87
44,AM Rahane,148,4074,3465,127,1341,1371,227,15,431,80,105,57,30,2,117.58,27.53,27.28,6.78,38.7,1,6,5,1,2,33.33
45,AN Ahmed,6,36,27,1,11,8,3,0,4,1,18,0,0,0,133.33,6.0,27.0,5.4,40.74,17,362,515,12,120,33.15
46,AN Ghosh,2,7,8,2,5,1,1,0,1,0,7,0,0,0,87.5,3.5,4.0,8.0,62.5,0,0,0,0,0,0.0
47,AP Dole,2,34,23,2,7,8,4,0,3,1,30,1,0,0,147.83,17.0,11.5,5.75,30.43,3,73,114,5,20,27.4
48,AP Majumdar,4,87,77,4,28,33,7,0,7,2,31,2,0,0,112.99,21.75,19.25,8.56,36.36,0,0,0,0,0,0.0
49,AP Tare,27,339,285,24,142,72,19,1,40,11,59,2,1,0,118.95,12.56,11.88,5.59,49.82,0,0,0,0,0,0.0
50,AR Patel,87,1135,919,56,321,411,66,0,67,54,44,10,0,0,123.5,13.05,16.41,7.6,34.93,121,2593,3133,101,840,32.39
51,AS Joseph,4,20,20,1,8,8,2,0,2,0,15,0,0,0,100.0,5.0,20.0,10.0,40.0,12,240,358,13,90,37.5
52,AS Rajpoot,7,26,41,4,27,10,1,0,2,1,8,0,0,0,63.41,3.71,10.25,13.67,65.85,29,567,844,24,192,33.86
53,AS Raut,16,194,172,9,67,73,9,3,13,7,36,2,0,0,112.79,12.12,19.11,8.6,38.95,5,30,45,0,6,20.0
54,AS Roy,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,2.0,100.0,3,57,66,2,15,26.32
55,AS Yadav,6,49,40,5,18,13,2,0,5,2,16,0,0,0,122.5,8.17,8.0,5.71,45.0,0,0,0,0,0,0.0
56,AT Carey,3,32,29,2,8,14,6,0,0,1,14,0,0,0,110.34,10.67,14.5,29.0,27.59,0,0,0,0,0,0.0
57,AT Rayudu,173,4190,3375,138,1236,1443,182,1,349,164,100,60,23,1,124.15,24.22,24.46,6.58,36.62,0,0,0,0,0,0.0
58,AUK Pathan,7,39,26,5,14,3,2,0,5,2,14,0,0,0,150.0,5.57,5.2,3.71,53.85,3,41,63,0,9,21.95
59,Abdul Samad,19,226,162,16,56,66,14,0,12,14,33,1,0,0,139.51,11.89,10.12,6.23,34.57,5,55,113,2,11,20.0
60,Abhishek Sharma,34,667,511,28,201,182,38,1,64,25,75,11,2,0,130.53,19.62,18.25,5.74,39.33,17,161,218,7,37,22.98
61,Akash Deep,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,2.0,100.0,5,119,206,5,39,32.77
62,Aman Hakim Khan,1,5,3,1,1,1,0,0,1,0,5,0,0,0,166.67,5.0,3.0,3.0,33.33,1,6,13,0,1,16.67
63,Anirudh Singh,4,63,69,4,34,23,5,0,6,1,40,1,0,0,91.3,15.75,17.25,9.86,49.28,0,0,0,0,0,0.0
64,Ankit Sharma,10,87,69,7,29,23,6,0,7,4,30,1,0,0,126.09,8.7,9.86,6.27,42.03,21,375,453,12,137,36.53
65,Ankit Soni,3,7,9,2,7,1,0,0,0,1,7,0,0,0,77.78,2.33,4.5,9.0,77.78,6,112,145,2,37,33.04
66,Anmolpreet Singh,3,29,27,3,14,7,2,0,3,1,16,0,0,0,107.41,9.67,9.0,6.75,51.85,0,0,0,0,0,0.0
67,Anuj Rawat,9,129,124,8,66,36,4,1,10,7,66,1,1,0,104.03,14.33,15.5,7.29,53.23,0,0,0,0,0,0.0
68,Anureet Singh,8,36,47,4,22,22,0,0,2,1,15,0,0,0,76.6,4.5,11.75,15.67,46.81,22,430,636,18,139,32.33
69,Arshdeep Singh,9,23,36,4,25,6,1,1,3,0,10,0,0,0,63.89,2.56,9.0,12.0,69.44,37,803,1086,40,254,31.63
70,Avesh Khan,6,31,19,1,9,5,0,0,2,3,12,0,0,0,163.16,5.17,19.0,3.8,47.37,38,868,1190,48,336,38.71
71,Azhar Mahmood,21,388,311,19,124,116,19,0,39,13,80,5,2,0,124.76,18.48,16.37,5.98,39.87,23,552,707,29,199,36.05
72,B Akhil,11,76,57,5,26,16,5,0,5,5,27,0,0,0,133.33,6.91,11.4,5.7,45.61,13,193,246,6,60,31.09
73,B Chipli,21,280,256,15,110,100,7,4,28,7,61,2,1,0,109.38,13.33,17.07,7.31,42.97,1,6,20,0,1,16.67
74,B Indrajith,3,21,31,3,18,9,2,0,2,0,15,0,0,0,67.74,7.0,10.33,15.5,58.06,0,0,0,0,0,0.0
75,B Kumar,55,241,259,26,117,101,15,0,23,3,24,0,0,0,93.05,4.38,9.96,9.96,45.17,146,3384,4064,154,1385,40.93
76,B Laughlin,4,5,13,2,8,5,0,0,0,0,4,0,0,0,38.46,1.25,6.5,13.0,61.54,9,179,284,10,42,23.46
77,B Lee,19,124,102,9,46,36,4,0,8,8,25,0,0,0,121.57,6.53,11.33,6.38,45.1,38,916,1126,25,374,40.83
78,B Sai Sudharsan,5,145,118,4,39,53,9,0,14,3,65,2,1,0,122.88,29.0,29.5,6.94,33.05,0,0,0,0,0,0.0
79,B Sumanth,4,35,38,1,15,17,3,0,3,0,16,0,0,0,92.11,8.75,38.0,12.67,39.47,0,0,0,0,0,0.0
80,BA Stokes,41,920,703,36,247,283,59,2,79,32,107,11,4,2,130.87,22.44,19.53,6.33,35.14,37,717,1005,28,228,31.8
81,BAW Mendis,3,3,6,2,3,3,0,0,0,0,2,0,0,0,50.0,1.0,3.0,6.0,50.0,10,244,288,8,76,31.15
82,BB McCullum,109,2880,2267,102,1025,713,103,3,293,130,158,44,15,2,127.04,26.42,22.23,5.36,45.21,0,0,0,0,0,0.0
83,BB Samantray,8,125,116,5,48,45,8,0,13,2,55,2,1,0,107.76,15.62,23.2,7.73,41.38,0,0,0,0,0,0.0
84,BB Sran,7,10,14,1,5,8,1,0,0,0,3,0,0,0,71.43,1.43,14.0,14.0,35.71,24,516,767,18,168,32.56
85,BCJ Cutting,17,238,146,10,58,44,10,0,15,19,39,2,0,0,163.01,14.0,14.6,4.29,39.73,17,288,430,10,77,26.74
86,BE Hendricks,2,1,3,1,2,1,0,0,0,0,1,0,0,0,33.33,0.5,3.0,3.0,66.67,7,157,239,9,52,33.12
87,BJ Haddin,1,18,11,1,5,2,1,0,2,1,18,0,0,0,163.64,18.0,11.0,3.67,45.45,0,0,0,0,0,0.0
88,BJ Hodge,63,1400,1153,41,439,452,89,8,122,43,73,21,6,0,121.42,22.22,28.12,6.99,38.07,20,238,310,17,75,31.51
89,BJ Rohrer,8,193,145,6,56,48,14,1,21,5,64,3,1,0,133.1,24.12,24.17,5.58,38.62,1,7,12,0,1,14.29
90,BMAJ Mendis,3,23,27,3,8,15,4,0,0,0,12,0,0,0,85.19,7.67,9.0,27.0,29.63,2,30,36,1,11,36.67
91,BR Dunk,3,40,36,3,20,6,3,0,7,0,20,0,0,0,111.11,13.33,12.0,5.14,55.56,0,0,0,0,0,0.0
92,Basil Thampi,7,32,37,1,16,16,3,0,1,1,13,0,0,0,86.49,4.57,37.0,18.5,43.24,25,539,862,22,152,28.2
93,Bipul Sharma,17,187,124,6,34,51,19,0,11,9,35,1,0,0,150.81,11.0,20.67,6.2,27.42,28,436,581,17,131,30.05
94,C Madan,1,15,21,1,15,3,0,0,3,0,15,0,0,0,71.43,15.0,21.0,7.0,71.43,0,0,0,0,0,0.0
95,C Munro,11,177,144,9,68,45,4,0,19,8,40,2,0,0,122.92,16.09,16.0,5.33,47.22,2,12,15,0,5,41.67
96,C Nanda,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,100.0,3,50,58,2,13,26.0
97,C Sakariya,5,16,25,4,16,6,1,0,2,0,7,0,0,0,64.0,3.2,6.25,12.5,64.0,17,405,521,17,126,31.11
98,C de Grandhomme,21,303,229,14,86,91,16,0,18,18,40,5,0,0,132.31,14.43,16.36,6.36,37.55,19,230,323,6,58,25.22
99,CA Ingram,15,205,183,12,78,69,9,0,22,5,47,2,0,0,112.02,13.67,15.25,6.78,42.62,0,0,0,0,0,0.0
100,CA Lynn,42,1329,974,38,416,315,45,0,132,66,93,20,10,0,136.45,31.64,25.63,4.92,42.71,0,0,0,0,0,0.0
101,CA Pujara,22,390,403,18,200,133,15,1,50,4,51,4,1,0,96.77,17.73,22.39,7.46,49.63,0,0,0,0,0,0.0
102,CH Gayle,141,4965,3502,124,1634,1012,91,3,405,357,175,61,37,6,141.78,35.21,28.24,4.6,46.66,38,584,755,18,180,30.82
103,CH Morris,49,618,413,28,134,163,39,1,41,35,82,6,2,0,149.64,12.61,14.75,5.43,32.45,81,1794,2362,95,666,37.12
104,CJ Anderson,29,538,436,22,200,139,25,1,40,31,95,7,3,0,123.39,18.55,19.82,6.14,45.87,22,315,525,11,79,25.08
105,CJ Ferguson,8,98,119,6,58,42,10,0,9,0,23,0,0,0,82.35,12.25,19.83,13.22,48.74,0,0,0,0,0,0.0
106,CJ Jordan,10,75,68,7,30,19,13,0,3,3,30,1,0,0,110.29,7.5,9.71,11.33,44.12,28,569,859,27,164,28.82
107,CJ McKay,1,8,15,1,8,6,1,0,0,0,8,0,0,0,53.33,8.0,15.0,15.0,53.33,2,42,60,1,14,33.33
108,CK Kapugedera,3,16,24,3,10,12,2,0,0,0,8,0,0,0,66.67,5.33,8.0,24.0,41.67,3,17,49,0,0,0.0
109,CK Langeveldt,2,8,9,2,6,2,0,0,0,1,8,0,0,0,88.89,4.0,4.5,9.0,66.67,7,165,199,13,69,41.82
110,CL White,45,954,769,34,274,334,47,2,76,36,78,15,6,0,124.06,21.2,22.62,6.87,35.63,6,46,86,1,8,17.39
111,CM Gautam,13,169,158,9,84,40,8,3,17,6,33,3,0,0,106.96,13.0,17.56,6.87,53.16,0,0,0,0,0,0.0
112,CR Brathwaite,14,181,120,13,53,37,4,0,10,16,43,2,0,0,150.83,12.93,9.23,4.62,44.17,16,266,384,13,74,27.82
113,CR Woakes,12,78,77,5,33,32,3,0,7,2,18,0,0,0,101.3,6.5,15.4,8.56,42.86,21,463,674,30,161,34.77
114,CV Varun,8,24,38,2,21,14,1,0,2,0,10,0,0,0,63.16,3.0,19.0,19.0,55.26,42,992,1186,42,346,34.88
115,D Brevis,7,161,116,7,55,33,3,0,14,11,49,3,0,0,138.79,23.0,16.57,4.64,47.41,1,3,8,1,1,33.33
116,D Kalyankrishna,1,3,8,1,5,3,0,0,0,0,3,0,0,0,37.5,3.0,8.0,8.0,62.5,3,50,88,2,10,20.0
117,D Padikkal,46,1260,1057,44,449,376,56,4,136,36,101,19,8,1,119.21,27.39,24.02,6.15,42.48,0,0,0,0,0,0.0
118,D Pretorius,5,44,28,4,10,10,2,0,3,3,22,0,0,0,157.14,8.8,7.0,4.67,35.71,6,138,213,6,34,24.64
119,D Salunkhe,3,33,24,1,8,9,2,0,5,0,26,0,0,0,137.5,11.0,24.0,4.8,33.33,5,51,80,1,13,25.49
120,D Wiese,8,127,94,4,29,43,6,0,12,4,47,1,0,0,135.11,15.88,23.5,5.88,30.85,14,289,409,16,79,27.34
121,D du Preez,1,10,13,1,5,6,2,0,0,0,10,0,0,0,76.92,10.0,13.0,13.0,38.46,2,43,56,4,18,41.86
122,DA Miller,101,2455,1837,64,617,777,159,2,169,113,101,31,13,1,133.64,24.31,28.7,6.51,33.59,0,0,0,0,0,0.0
123,DA Warner,162,5881,4308,135,1633,1513,345,23,577,216,126,86,59,4,136.51,36.3,31.91,5.43,37.91,1,2,2,0,0,0.0
124,DB Das,22,304,267,12,124,92,12,0,23,16,35,2,0,0,113.86,13.82,22.25,6.85,46.44,0,0,0,0,0,0.0
125,DB Ravi Teja,25,375,325,19,124,136,18,3,35,9,60,5,1,0,115.38,15.0,17.11,7.39,38.15,2,18,28,1,4,22.22
126,DE Bollinger,4,21,23,1,11,9,1,0,1,1,16,0,0,0,91.3,5.25,23.0,11.5,47.83,27,600,716,37,254,42.33
127,DH Yagnik,17,170,142,9,62,44,11,0,23,2,34,2,0,0,119.72,10.0,15.78,5.68,43.66,0,0,0,0,0,0.0
128,DJ Bravo,110,1560,1247,68,498,447,111,5,120,66,70,15,5,0,125.1,14.18,18.34,6.7,39.94,158,3296,4436,183,998,30.28
129,DJ Harris,4,111,103,3,52,33,2,0,11,5,47,2,0,0,107.77,27.75,34.33,6.44,50.49,2,18,26,0,4,22.22
130,DJ Hooda,75,1236,969,56,332,418,84,2,77,56,64,13,7,0,127.55,16.48,17.3,7.29,34.26,30,359,505,10,96,26.74
131,DJ Hussey,61,1322,1101,46,425,452,72,2,90,60,71,19,5,0,120.07,21.67,23.93,7.34,38.6,26,323,485,8,86,26.63
132,DJ Jacobs,7,92,101,7,62,22,3,0,10,4,32,1,0,0,91.09,13.14,14.43,7.21,61.39,0,0,0,0,0,0.0
133,DJ Malan,1,26,26,1,10,12,2,0,1,1,26,0,0,0,100.0,26.0,26.0,13.0,38.46,0,0,0,0,0,0.0
134,DJ Mitchell,2,33,46,2,18,25,2,0,1,0,17,0,0,0,71.74,16.5,23.0,46.0,39.13,2,13,27,0,1,7.69
